YEAR,MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM,DIST_DIRECT_KM,DIST_ACHIEVED_KM
2014,1,JAN,2014-01-01T00:00:00Z,Albania,State (FIR),CPF,44782,44746.65,44087.5
2014,1,JAN,2014-01-01T00:00:00Z,Albania,State (FIR),FTFM,49328,49190.07,47423.78
2014,1,JAN,2014-01-01T00:00:00Z,Armenia,State (FIR),FTFM,23480,23269.170000000002,23002.68
2014,1,JAN,2014-01-01T00:00:00Z,Austria,State (FIR),CPF,252270,251353.30000000002,247097.24
2014,1,JAN,2014-01-01T00:00:00Z,Austria,State (FIR),FTFM,280193,275747.03,267401.38
2014,1,JAN,2014-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),CPF,1466422,1453357.85,1436435.95
2014,1,JAN,2014-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),FTFM,1759487,1711664.78,1679011.99
2014,1,JAN,2014-01-01T00:00:00Z,Baltic FAB,FAB (FIR),CPF,147679,147457.21,145436.63
2014,1,JAN,2014-01-01T00:00:00Z,Baltic FAB,FAB (FIR),FTFM,500124,496096.21,489194.38
2014,1,JAN,2014-01-01T00:00:00Z,Belgium,State (FIR),CPF,209055,208371.91,203460.63
2014,1,JAN,2014-01-01T00:00:00Z,Belgium,State (FIR),FTFM,249782,245231.80000000002,233493.18
2014,1,JAN,2014-01-01T00:00:00Z,Bosnia and Herzegovina,State (FIR),CPF,62229,62186.020000000004,61635.020000000004
2014,1,JAN,2014-01-01T00:00:00Z,Bosnia and Herzegovina,State (FIR),FTFM,64766,64341.11,62996.05
2014,1,JAN,2014-01-01T00:00:00Z,Bulgaria,State (FIR),CPF,196601,196433.95,194582.78
2014,1,JAN,2014-01-01T00:00:00Z,Bulgaria,State (FIR),FTFM,221383,221009.84,216394.94
2014,1,JAN,2014-01-01T00:00:00Z,Croatia,State (FIR),CPF,165682,165514.72,164106.96
2014,1,JAN,2014-01-01T00:00:00Z,Croatia,State (FIR),FTFM,184710,183073.79,180673.96
2014,1,JAN,2014-01-01T00:00:00Z,Cyprus,State (FIR),CPF,16856,16844.7,16510.83
2014,1,JAN,2014-01-01T00:00:00Z,Cyprus,State (FIR),FTFM,203706,193710.38,187037.80000000002
2014,1,JAN,2014-01-01T00:00:00Z,Czech Republic,State (FIR),CPF,232839,232287.81,228442.4
2014,1,JAN,2014-01-01T00:00:00Z,Czech Republic,State (FIR),FTFM,267033,264472.34,257531.75
2014,1,JAN,2014-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),CPF,518988,518226.94,514526.81
2014,1,JAN,2014-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),FTFM,591382,587974.5,580183
2014,1,JAN,2014-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),CPF,476224,475548.01,472602.74
2014,1,JAN,2014-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),FTFM,540421,535293.5,527289.72
2014,1,JAN,2014-01-01T00:00:00Z,Denmark,State (FIR),CPF,155835,155741.12,154817.69
2014,1,JAN,2014-01-01T00:00:00Z,Denmark,State (FIR),FTFM,185098,183484.9,179526.43
2014,1,JAN,2014-01-01T00:00:00Z,EUROCONTROL Area (PRR),Area (FIR),CPF,11140876,10968403.03,10902247.57
2014,1,JAN,2014-01-01T00:00:00Z,EUROCONTROL Area (PRR),Area (FIR),FTFM,14948034,14456827.09,14341623.03
2014,1,JAN,2014-01-01T00:00:00Z,Estonia,State (FIR),CPF,34591,34546.520000000004,34247.9
2014,1,JAN,2014-01-01T00:00:00Z,Estonia,State (FIR),FTFM,78518,78404.32,77719.65000000001
2014,1,JAN,2014-01-01T00:00:00Z,FAB CE,FAB (FIR),CPF,1045481,1040531.19,1029265.75
2014,1,JAN,2014-01-01T00:00:00Z,FAB CE,FAB (FIR),FTFM,1180236,1162997.53,1141603.5
2014,1,JAN,2014-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),CPF,816871,812594.9500000001,802851.85
2014,1,JAN,2014-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),FTFM,929579,915861.8,896808.86
2014,1,JAN,2014-01-01T00:00:00Z,FAB CE (SES RP2),FAB (FIR),CPF,982553,977816.51,966958.81
2014,1,JAN,2014-01-01T00:00:00Z,FAB CE (SES RP2),FAB (FIR),FTFM,1114784,1098629.58,1077970.65
