MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM,DIST_DIRECT_KM,DIST_ACHIEVED_KM
1,JAN,2015-01-01T00:00:00Z,Albania,State (FIR),CPF,54860,54818.31,54243.46
1,JAN,2015-01-01T00:00:00Z,Albania,State (FIR),FTFM,57351,57203.44,56046.98
1,JAN,2015-01-01T00:00:00Z,Armenia,State (FIR),FTFM,12569,12480.85,12203.53
1,JAN,2015-01-01T00:00:00Z,Austria,State (FIR),CPF,276427,275679.17,271400
1,JAN,2015-01-01T00:00:00Z,Austria,State (FIR),FTFM,293622,289908.71,281492.61
1,JAN,2015-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),CPF,1611855,1598105.1,1580963.33
1,JAN,2015-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),FTFM,1895969,1848063.1600000001,1815009.2000000002
1,JAN,2015-01-01T00:00:00Z,Baltic FAB,FAB (FIR),CPF,219356,218884.02000000002,216350.95
1,JAN,2015-01-01T00:00:00Z,Baltic FAB,FAB (FIR),FTFM,513373,507943.89,499409.61
1,JAN,2015-01-01T00:00:00Z,Belgium,State (FIR),CPF,240978,240167.72,234696.2
1,JAN,2015-01-01T00:00:00Z,Belgium,State (FIR),FTFM,277009,272120.6,260188.59
1,JAN,2015-01-01T00:00:00Z,Bosnia and Herzegovina,State (FIR),CPF,94102,94059.93000000001,93195.23
1,JAN,2015-01-01T00:00:00Z,Bosnia and Herzegovina,State (FIR),FTFM,87712,87293.59,85910
1,JAN,2015-01-01T00:00:00Z,Bulgaria,State (FIR),CPF,322912,322615.84,319949.54
1,JAN,2015-01-01T00:00:00Z,Bulgaria,State (FIR),FTFM,338244,337850.87,327893.77
1,JAN,2015-01-01T00:00:00Z,Croatia,State (FIR),CPF,192726,192427.15,190708.31
1,JAN,2015-01-01T00:00:00Z,Croatia,State (FIR),FTFM,208294,206854.96,203968.73
1,JAN,2015-01-01T00:00:00Z,Cyprus,State (FIR),CPF,23069,23036.49,22698.91
1,JAN,2015-01-01T00:00:00Z,Cyprus,State (FIR),FTFM,252003,240501.37,232706.01
1,JAN,2015-01-01T00:00:00Z,Czech Republic,State (FIR),CPF,274724,274011.51,269857.3
1,JAN,2015-01-01T00:00:00Z,Czech Republic,State (FIR),FTFM,279616,277031.39,269644.25
1,JAN,2015-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),CPF,748681,746620.61,741729.71
1,JAN,2015-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),FTFM,794629,789403.36,770696.6900000001
1,JAN,2015-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),CPF,467567,466838.06,463380.39
1,JAN,2015-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),FTFM,500521,496340.69,489036.27
1,JAN,2015-01-01T00:00:00Z,Denmark,State (FIR),CPF,147613,147527.08000000002,146539.63
1,JAN,2015-01-01T00:00:00Z,Denmark,State (FIR),FTFM,161996,160651.61000000002,157464.61000000002
1,JAN,2015-01-01T00:00:00Z,EUROCONTROL Area (PRR),Area (FIR),CPF,12495967,12311442.69,12240298.5
1,JAN,2015-01-01T00:00:00Z,EUROCONTROL Area (PRR),Area (FIR),FTFM,15347178,14832600.55,14714602.28
1,JAN,2015-01-01T00:00:00Z,Estonia,State (FIR),CPF,48652,48579.1,48107.97
1,JAN,2015-01-01T00:00:00Z,Estonia,State (FIR),FTFM,97174,96924.39,95952.98
1,JAN,2015-01-01T00:00:00Z,FAB CE,FAB (FIR),CPF,1253391,1247578.53,1235141.77
1,JAN,2015-01-01T00:00:00Z,FAB CE,FAB (FIR),FTFM,1308254,1292040.57,1268297.72
1,JAN,2015-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),CPF,966568,961692.56,951241.77
1,JAN,2015-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),FTFM,1012046,998820.56,978211.35
1,JAN,2015-01-01T00:00:00Z,FAB CE (SES RP2),FAB (FIR),CPF,1159294,1153792.52,1141950.08
1,JAN,2015-01-01T00:00:00Z,FAB CE (SES RP2),FAB (FIR),FTFM,1220340,1205073.35,1182184.35
1,JAN,2015-01-01T00:00:00Z,FABEC,FAB (FIR),CPF,4345971,4294456.81,4239855.04
1,JAN,2015-01-01T00:00:00Z,FABEC,FAB (FIR),FTFM,4540772,4376334.3,4297404.38
1,JAN,2015-01-01T00:00:00Z,Finland,State (FIR),CPF,76248,76068.37,75611.01
1,JAN,2015-01-01T00:00:00Z,Finland,State (FIR),FTFM,75408,75015.88,74493.81
1,JAN,2015-01-01T00:00:00Z,France,State (FIR),CPF,2304099,2277472.56,2241969.78
1,JAN,2015-01-01T00:00:00Z,France,State (FIR),FTFM,2349449,2269242.36,2222884.85
1,JAN,2015-01-01T00:00:00Z,Georgia,State (FIR),FTFM,74166,73971.92,71877.32
1,JAN,2015-01-01T00:00:00Z,Germany,State (FIR),CPF,1358911,1350449.9100000001,1331888.26
1,JAN,2015-01-01T00:00:00Z,Germany,State (FIR),FTFM,1446220,1405963.3900000001,1370952.21
1,JAN,2015-01-01T00:00:00Z,Greece,State (FIR),CPF,546443,545253.65,540999.14
1,JAN,2015-01-01T00:00:00Z,Greece,State (FIR),FTFM,559897,554636.58,548610.55
1,JAN,2015-01-01T00:00:00Z,Hungary,State (FIR),CPF,247881,247627.07,244837.4
1,JAN,2015-01-01T00:00:00Z,Hungary,State (FIR),FTFM,268243,267190.64,261497.28
1,JAN,2015-01-01T00:00:00Z,Ireland,State (FIR),CPF,182937,182373.68,179701.87
1,JAN,2015-01-01T00:00:00Z,Ireland,State (FIR),FTFM,115400,114674.68000000001,110690.17
1,JAN,2015-01-01T00:00:00Z,Italy,State (FIR),CPF,942548,933543.14,918626.22
1,JAN,2015-01-01T00:00:00Z,Italy,State (FIR),FTFM,976420,949753.03,927602.75
1,JAN,2015-01-01T00:00:00Z,Latvia,State (FIR),CPF,62888,62811.54,62154.32
1,JAN,2015-01-01T00:00:00Z,Latvia,State (FIR),FTFM,97442,97142.6,95949.01
1,JAN,2015-01-01T00:00:00Z,Lithuania,State (FIR),CPF,57247,57151.46,56443.78
1,JAN,2015-01-01T00:00:00Z,Lithuania,State (FIR),FTFM,60980,60953.61,59835.58
1,JAN,2015-01-01T00:00:00Z,Malta,State (FIR),CPF,94445,94191.97,93309.49
1,JAN,2015-01-01T00:00:00Z,Malta,State (FIR),FTFM,101237,100925.22,99827.82
1,JAN,2015-01-01T00:00:00Z,Moldova,State (FIR),CPF,4121,4108.9800000000005,3997.7000000000003
1,JAN,2015-01-01T00:00:00Z,Moldova,State (FIR),FTFM,5276,5251.29,4996.34
1,JAN,2015-01-01T00:00:00Z,Morocco,State (FIR),CPF,130427,130283.93000000001,128697.84
1,JAN,2015-01-01T00:00:00Z,Morocco,State (FIR),FTFM,425117,420307.45,414799.57
1,JAN,2015-01-01T00:00:00Z,NEFAB,FAB (FIR),CPF,392892,391683.09,388621.10000000003
1,JAN,2015-01-01T00:00:00Z,NEFAB,FAB (FIR),FTFM,490777,486915.99,482148.58
1,JAN,2015-01-01T00:00:00Z,Netherlands,State (FIR),CPF,281191,280134.29,275730.34
1,JAN,2015-01-01T00:00:00Z,Netherlands,State (FIR),FTFM,301046,295603.99,286937.46
1,JAN,2015-01-01T00:00:00Z,North Macedonia,State (FIR),CPF,18755,18734.07,18443.82
1,JAN,2015-01-01T00:00:00Z,North Macedonia,State (FIR),FTFM,24246,24161.34,23089.03
1,JAN,2015-01-01T00:00:00Z,Norway,State (FIR),CPF,205104,204291.7,202747.81
1,JAN,2015-01-01T00:00:00Z,Norway,State (FIR),FTFM,220753,218161.11000000002,215752.78
1,JAN,2015-01-01T00:00:00Z,Poland,State (FIR),CPF,162109,161820.78,159907.16
1,JAN,2015-01-01T00:00:00Z,Poland,State (FIR),FTFM,451859,447010.62,439042.37
1,JAN,2015-01-01T00:00:00Z,Portugal (Continental),State (FIR),CPF,450011,449559.07,444513.16000000003
1,JAN,2015-01-01T00:00:00Z,Portugal (Continental),State (FIR),FTFM,472105,470321.59,463374.87
1,JAN,2015-01-01T00:00:00Z,Romania,State (FIR),CPF,428381,427475.17,424362.45
1,JAN,2015-01-01T00:00:00Z,Romania,State (FIR),FTFM,457350,454844.23,443709.92
1,JAN,2015-01-01T00:00:00Z,SES Area (RP1),Area (FIR),CPF,11619329,11453404.37,11375960.33
1,JAN,2015-01-01T00:00:00Z,SES Area (RP1),Area (FIR),FTFM,12584279,12186755.9,12049165.18
1,JAN,2015-01-01T00:00:00Z,SES Area (RP2),Area (FIR),CPF,11814697,11646429.88,11569304.02
1,JAN,2015-01-01T00:00:00Z,SES Area (RP2),Area (FIR),FTFM,12795021,12392868.24,12255491.94
1,JAN,2015-01-01T00:00:00Z,SW FAB,FAB (FIR),CPF,1756208,1736109.3399999999,1714265.79
1,JAN,2015-01-01T00:00:00Z,SW FAB,FAB (FIR),FTFM,1829217,1794936.1400000001,1766008.8900000001
1,JAN,2015-01-01T00:00:00Z,Serbia and Montenegro,State (FIR),CPF,192312,192056.77,189690.31
1,JAN,2015-01-01T00:00:00Z,Serbia and Montenegro,State (FIR),FTFM,199492,198855.47,194883.1
1,JAN,2015-01-01T00:00:00Z,Slovakia,State (FIR),CPF,120474,120297.58,118658.89
1,JAN,2015-01-01T00:00:00Z,Slovakia,State (FIR),FTFM,119360,118571.39,115351.25
1,JAN,2015-01-01T00:00:00Z,Slovenia,State (FIR),CPF,46253,46212.57,45681.07
1,JAN,2015-01-01T00:00:00Z,Slovenia,State (FIR),FTFM,50064,49984.22,49095.08
1,JAN,2015-01-01T00:00:00Z,Spain,State (FIR),CPF,1305629,1289449.29,1269175.38
1,JAN,2015-01-01T00:00:00Z,Spain,State (FIR),FTFM,1356655,1328687.6400000001,1302234.1400000001
1,JAN,2015-01-01T00:00:00Z,Spain (Canarias),State (FIR),CPF,120570,119718.06,117022.47
1,JAN,2015-01-01T00:00:00Z,Spain (Canarias),State (FIR),FTFM,161311,158065.31,154162.61000000002
1,JAN,2015-01-01T00:00:00Z,Spain (Continental),State (FIR),CPF,1185059,1169731.22,1152152.91
1,JAN,2015-01-01T00:00:00Z,Spain (Continental),State (FIR),FTFM,1195344,1170622.32,1148071.53
1,JAN,2015-01-01T00:00:00Z,Sweden,State (FIR),CPF,319954,319455.05,316840.76
1,JAN,2015-01-01T00:00:00Z,Sweden,State (FIR),FTFM,337322,335151.83,330390.71
1,JAN,2015-01-01T00:00:00Z,Switzerland,State (FIR),CPF,157377,156306.97,152194.82
1,JAN,2015-01-01T00:00:00Z,Switzerland,State (FIR),FTFM,164149,160555.46,153656.79
1,JAN,2015-01-01T00:00:00Z,Turkiye,State (FIR),CPF,68937,68709.04000000001,67487.9
1,JAN,2015-01-01T00:00:00Z,Turkiye,State (FIR),FTFM,1595729,1557903.92,1528798.01
1,JAN,2015-01-01T00:00:00Z,UK (Continental),State (FIR),CPF,918981,908392.81,891841.17
1,JAN,2015-01-01T00:00:00Z,UK (Continental),State (FIR),FTFM,875292,849874.38,825063.84
1,JAN,2015-01-01T00:00:00Z,UK-Ireland FAB,FAB (FIR),CPF,1101918,1088455.93,1071543.04
1,JAN,2015-01-01T00:00:00Z,UK-Ireland FAB,FAB (FIR),FTFM,990692,959833.49,935754.01
1,JAN,2015-01-02T00:00:00Z,Albania,State (FIR),CPF,51091,51059.61,50344.86
1,JAN,2015-01-02T00:00:00Z,Albania,State (FIR),FTFM,56901,56820.51,53822.62
1,JAN,2015-01-02T00:00:00Z,Armenia,State (FIR),FTFM,16403,16307,15950.91
1,JAN,2015-01-02T00:00:00Z,Austria,State (FIR),CPF,396580,395230.93,388088.85000000003
1,JAN,2015-01-02T00:00:00Z,Austria,State (FIR),FTFM,427549,421599.43,408770.44
1,JAN,2015-01-02T00:00:00Z,BLUE MED FAB,FAB (FIR),CPF,1948387,1928133.3599999999,1900700.75
1,JAN,2015-01-02T00:00:00Z,BLUE MED FAB,FAB (FIR),FTFM,2230647,2167998,2124254.27
1,JAN,2015-01-02T00:00:00Z,Baltic FAB,FAB (FIR),CPF,311464,310891.9,306777.2
1,JAN,2015-01-02T00:00:00Z,Baltic FAB,FAB (FIR),FTFM,742221,733906.24,721019.37
1,JAN,2015-01-02T00:00:00Z,Belgium,State (FIR),CPF,322436,321091.32,312206.56
1,JAN,2015-01-02T00:00:00Z,Belgium,State (FIR),FTFM,359019,352139.85000000003,335034.83
1,JAN,2015-01-02T00:00:00Z,Bosnia and Herzegovina,State (FIR),CPF,128351,128207.38,126785.31
1,JAN,2015-01-02T00:00:00Z,Bosnia and Herzegovina,State (FIR),FTFM,135598,134796.42,132066.96
1,JAN,2015-01-02T00:00:00Z,Bulgaria,State (FIR),CPF,386111,385678.73,382206.93
1,JAN,2015-01-02T00:00:00Z,Bulgaria,State (FIR),FTFM,417234,416542.44,403692.53
1,JAN,2015-01-02T00:00:00Z,Croatia,State (FIR),CPF,229640,229372.27000000002,226877.77000000002
1,JAN,2015-01-02T00:00:00Z,Croatia,State (FIR),FTFM,247679,245724.59,241495.37
1,JAN,2015-01-02T00:00:00Z,Cyprus,State (FIR),CPF,21803,21796.07,21398.15
1,JAN,2015-01-02T00:00:00Z,Cyprus,State (FIR),FTFM,245678,233789.28,226666.61000000002
1,JAN,2015-01-02T00:00:00Z,Czech Republic,State (FIR),CPF,379842,377557.32,370944.38
1,JAN,2015-01-02T00:00:00Z,Czech Republic,State (FIR),FTFM,381836,377524.93,367010.24
1,JAN,2015-01-02T00:00:00Z,DANUBE FAB,FAB (FIR),CPF,930735,928729.51,922085.86
1,JAN,2015-01-02T00:00:00Z,DANUBE FAB,FAB (FIR),FTFM,1001753,994120.3200000001,969945.36
1,JAN,2015-01-02T00:00:00Z,DK-SE FAB,FAB (FIR),CPF,715811,713645.9500000001,708171.3200000001
1,JAN,2015-01-02T00:00:00Z,DK-SE FAB,FAB (FIR),FTFM,749884,743395.96,732140.81
1,JAN,2015-01-02T00:00:00Z,Denmark,State (FIR),CPF,237879,237198.36000000002,235247.26
1,JAN,2015-01-02T00:00:00Z,Denmark,State (FIR),FTFM,257215,255139.21,249936.4
1,JAN,2015-01-02T00:00:00Z,EUROCONTROL Area (PRR),Area (FIR),CPF,16838222,16550252.48,16436560.91
1,JAN,2015-01-02T00:00:00Z,EUROCONTROL Area (PRR),Area (FIR),FTFM,20397273,19670682.89,19492855.86
1,JAN,2015-01-02T00:00:00Z,Estonia,State (FIR),CPF,53689,53595.14,52929.06
1,JAN,2015-01-02T00:00:00Z,Estonia,State (FIR),FTFM,109998,109721.05,108430.62
1,JAN,2015-01-02T00:00:00Z,FAB CE,FAB (FIR),CPF,1684636,1674612.07,1654912.05
1,JAN,2015-01-02T00:00:00Z,FAB CE,FAB (FIR),FTFM,1777324,1751961.4100000001,1716874.99
1,JAN,2015-01-02T00:00:00Z,FAB CE (SES RP1),FAB (FIR),CPF,1325221,1316407.92,1299836.78
1,JAN,2015-01-02T00:00:00Z,FAB CE (SES RP1),FAB (FIR),FTFM,1392517,1371774.71,1341822.1400000001
1,JAN,2015-01-02T00:00:00Z,FAB CE (SES RP2),FAB (FIR),CPF,1555460,1545868.8399999999,1527309.01
1,JAN,2015-01-02T00:00:00Z,FAB CE (SES RP2),FAB (FIR),FTFM,1640738,1617109.0899999999,1583851.02
1,JAN,2015-01-02T00:00:00Z,FABEC,FAB (FIR),CPF,6059556,5972322.73,5887051.48
1,JAN,2015-01-02T00:00:00Z,FABEC,FAB (FIR),FTFM,6308561,6066911.77,5946961.48
1,JAN,2015-01-02T00:00:00Z,Finland,State (FIR),CPF,106504,106282.75,105762.49
1,JAN,2015-01-02T00:00:00Z,Finland,State (FIR),FTFM,110519,109975.31,109064.88
