Year,As,BC,CO,Cd,Cr,Cu,Hg,Indeno,NH3,NMVOC,NOx,Ni,PCB,PM10,PM2.5,Pb,SOx,Se,TSP,Zn,benzo(a),benzo(b),benzo(k),dioxin,total PAH,rolling_As,rolling_BC,rolling_CO,rolling_Cd,rolling_Cr,rolling_Cu,rolling_Hg,rolling_Indeno,rolling_NH3,rolling_NMVOC,rolling_NOx,rolling_Ni,rolling_PCB,rolling_PM10,rolling_PM2.5,rolling_Pb,rolling_SOx,rolling_Se,rolling_TSP,rolling_Zn,rolling_benzo(a),rolling_benzo(b),rolling_benzo(k),rolling_dioxin,rolling_total PAH
1990,0.0010706583437681168,2.298695967611378,514.841454009687,0.0037068754063681267,0.044906297762217065,0.13748748322109997,0.013896042694740797,0.01669187062495867,0.7722625047804527,22.20998458288281,242.06832426719427,0.009178064055674312,3.1968739227521253e-07,4.626552748806749,4.529503620456936,209.0581056408156,16.553997877667697,0.030696898706209744,4.572956140005786,1.243983161415231,0.014688611133600473,0.10758921056277403,0.012862057110636892,0.02146856858717637,0.1524772475385537,,,,,,,,,,,,,,,,,,,,,,,,,
1991,0.0008961833284311209,2.193775083707556,453.1771446593765,0.003174836075685954,0.04456608009598843,0.13675802775701149,0.013337960143066686,0.008351337230203943,0.7574847778182009,19.46493491576572,238.2363221017425,0.008615006821826813,3.017259136731221e-07,4.520777542184661,4.484873099343555,109.64251879573413,16.18835174392011,0.030934148965952736,4.497849140656097,0.9474064919968878,0.003603713109380872,0.022359884359404933,0.0029753634130760837,0.01236896852190967,0.03793795683317617,,,,,,,,,,,,,,,,,,,,,,,,,
1992,0.0008532842477858469,2.215152635542245,518.329997989861,0.003329845735909733,0.04801714944468461,0.14664471602864207,0.01332134566528747,0.008160260074080548,0.816351366749893,20.14567931472036,253.22896925065348,0.009313316239150691,3.081502151331545e-07,4.654583569744723,4.6265974225815425,99.18705327438856,17.317927553445035,0.03344436394451434,4.586130413538777,0.9371064652873289,0.002920606292115787,0.01795102443214119,0.00239847919421581,0.01175176109057966,0.03213670719107367,,,,,,,,,,,,,,,,,,,,,,,,,
1993,0.0010540516768685051,2.199277977126361,620.1875427103782,0.003154412296552426,0.04941245354172822,0.16406682382687274,0.013582999826406936,0.01008792692180828,0.8594350015276544,21.30269610386516,260.73652466140186,0.00954625722395645,3.02420925870998e-07,4.723068542233868,4.679133335946533,77.37432789614209,17.96034391773536,0.03532960269509218,4.637419965277821,1.11062644634088,0.00553954294695823,0.03931243417255852,0.004756457577130937,0.014064290286483289,0.06042298462881484,,,,,,,,,,,,,,,,,,,,,,,,,
1994,0.0010496970613578574,2.2232963007819677,535.0439745147393,0.0034695970460168783,0.05286581224680114,0.17400827485950834,0.013986450836616125,0.01214571984268938,0.8932032901968613,20.0147732882848,270.3991963159278,0.010081948486604637,3.0851369976925047e-07,4.866586973573023,4.813491893633012,70.42515051719369,18.577065400014025,0.03640993917966119,4.796720711514852,1.1553469977862552,0.008031766204380337,0.06029456632384133,0.007041538818935091,0.01627859553932592,0.0882639751411594,0.0009847749316422895,2.2260395929539016,528.3160227768084,0.0033671133121066232,0.04795355861828389,0.15179306513862692,0.013624959833223602,0.011087422938748164,0.8197473882146123,20.62761364110377,252.93386731938398,0.00934691856544258,3.0809962934434747e-07,4.678313875308605,4.626719874392316,113.13743122485482,17.319537298556448,0.033362990698286035,4.618215274198667,1.0788939125653165,0.006956847937287141,0.049501423970143996,0.006006779222798963,0.015186436805094983,0.07424777426655556
1995,0.0010599205704975943,2.2791973108537222,524.7037736038415,0.0037350965536373333,0.05672730646192617,0.1864424175200834,0.01467547792289942,0.012302135782177759,0.9262638862633832,19.88720960257127,286.0879352987389,0.010823941453142959,3.377450976050316e-07,5.057313341604132,5.012244536563342,60.94757861380905,19.382707903457312,0.0396852339309604,5.005601967869935,1.174641342028113,0.007552282256996207,0.05667887413970596,0.00661615852210711,0.0157499745101521,0.08396118371306238,0.0009826273769881848,2.2221398616023706,530.2884866956393,0.003372757541560465,0.050317760358225716,0.1615840519984236,0.013780846878855326,0.010209475970191981,0.8505476645111985,20.163058645041463,261.7377895256929,0.00967609404493631,3.117111704103113e-07,4.764465993868082,4.723268057613597,83.51532581945351,17.885279303714366,0.035160657743236165,4.704744439771496,1.0650255486878928,0.005529582161966287,0.03931935668553038,0.004757599505093006,0.014042717989690128,0.060544561501457296
1996,0.0010435741048366294,2.317858233330135,404.0532294033764,0.0035259737306135553,0.05899784549203702,0.20122344020596297,0.014830343934206652,0.0135075321925075,0.9706299822233515,18.146061935215428,298.858355995034,0.011150361159737712,3.037624665107536e-07,5.212308942914282,5.1617410203135465,61.682609146669705,20.681112806282208,0.04317750529916147,5.195250319663713,1.0900561795705725,0.008138171100157778,0.0604981158818527,0.007105735828169118,0.015547574836416181,0.09014510339203624,0.0010121055322692865,2.2469564915268863,520.4637036444393,0.003442985072545985,0.05320411343743543,0.1744771344882139,0.014079323637083321,0.011240714962652693,0.8931767053922288,19.899284048931403,273.8621963043512,0.01018316491251849,3.121184809778376e-07,4.902772274014007,4.858641641807595,73.92334388964062,18.783831516186787,0.037609329009877915,4.844224675573019,1.0935554862026298,0.006436473760121668,0.046947002990019936,0.005583673988111613,0.01467843925259143,0.0709859908132293
1997,0.001153747010251135,2.367840705177414,355.110231111874,0.003874156021221103,0.06373284018656494,0.2163231251506507,0.015933376670809133,0.013514876765781931,1.0073607916890475,17.61064680489899,313.0998754142175,0.012002144378948521,2.932999789715329e-07,5.402382040367973,5.346248233921476,59.99261856089116,21.54300108392357,0.04614968254054588,5.3790164386073815,1.2300805809535589,0.007499990036796598,0.05506862621239893,0.006516576933619816,0.01561697632550115,0.08355785242100022,0.0010721980847623442,2.2774941054539197,487.81975026884186,0.0035518471296082594,0.0563472515858115,0.18841281631261564,0.014601729838187655,0.01231163830099297,0.9313785903800597,19.39227754696713,285.836377537064,0.010720930540478056,3.091484337455133e-07,5.052331968138656,5.002571804075582,66.08445694694113,19.628846222282498,0.04015039272908423,5.00280188058674,1.1521503093358758,0.007352350509057829,0.05437052334607149,0.006407293535992414,0.015451482299575728,0.08127021985921462
1998,0.0012143979656145164,2.448678136594495,330.2738102951307,0.004325856029317086,0.06806223576862488,0.22549172093531478,0.017052034977395117,0.014407977116662609,1.036445822522411,17.458639242713367,333.6787084059847,0.012927751581174011,2.654318716522254e-07,5.652342800060275,5.593430329300628,57.31559847936275,22.640647912052927,0.05011093418043472,5.6399823600457175,1.3308096324157292,0.008049682480351062,0.059409690143647845,0.0070157105487043524,0.01575201037272215,0.08992627598663637,0.0011042673425115464,2.3273741373475465,429.8370037857923,0.003786135876161191,0.060077208031190835,0.20069779573430405,0.01529553686838529,0.013175648339963836,0.9667807545790108,18.623466174736773,300.4248142859806,0.01139722941192157,3.0175062290175884e-07,5.2381868197039365,5.185431202746401,62.07271106358527,20.56490702114601,0.04310665902615274,5.20331435954032,1.1961869465508457,0.007854378415736395,0.058389974540289345,0.006859144130307098,0.015789026316823503,0.08717087813077892
1999,0.001361802983336816,2.553968899424244,305.7332236870873,0.004466183895775525,0.07315954233796979,0.2416464489434152,0.018656151590721294,0.01484225517469267,1.1120700433459596,17.60774734460417,363.88547510436365,0.013871079145885057,2.60198375117428e-07,5.984362844255805,5.919793789527013,64.10701257666305,24.430145926200023,0.056667138699948875,5.968152690490571,1.4334479587738418,0.007725982406782868,0.05701769562539014,0.0067449490176545975,0.01462205222304669,0.08751216474654733,0.0011666885269073382,2.3935086570760022,383.97485362026197,0.00398545324611292,0.06413595404942456,0.21422543055108542,0.016229477019206323,0.013714955406364493,1.0105541052088305,18.142060986000647,319.12207004366775,0.012155055543777653,2.920875579713943e-07,5.461741993840493,5.406691581925202,60.80908347547914,21.735523126383207,0.047158098930210265,5.437600755335464,1.251807138748363,0.007793221656216903,0.05773460040059911,0.006799826170050999,0.015457717653567654,0.0870205160518565
